,a0.surv,bc.surv,a1.surv.one,a1.surv.two,a1.surv.three,a1.surv.four,aS.surv.siteA,aS.surv.siteB,aS.surv.siteC,aS.surv.siteD,aS.surv.siteE,a0.gr,bc.gr,a1.gr.one,a1.gr.two,a1.gr.three,a1.gr.four,bcTSF.gr.one,bcTSF.gr.two,bcTSF.gr.three,bcTSF.gr.four,aS.gr.siteA,aS.gr.siteB,aS.gr.siteC,aS.gr.siteD,aS.gr.siteE,a0.sds,a1.sds.one,a1.sds.two,a1.sds.three,a1.sds.four,aS.sds.siteA,aS.sds.siteB,aS.sds.siteC,aS.sds.siteD,aS.sds.siteE,a0.fl,bc.fl,a1.fl.two,a1.fl.three,a1.fl.four,bcTSF.fl.two,bcTSF.fl.three,bcTSF.fl.four,aS.fl.siteA,aS.fl.siteB,aS.fl.siteC,aS.fl.siteD,aS.fl.siteE,a0.fs,bc.fs,a1.fs.two,a1.fs.three,a1.fs.four,aS.fs.siteA,aS.fs.siteB,aS.fs.siteC,aS.fs.siteD,aS.fs.siteE,a0.fps,bc.fps,a1.fps.two,a1.fps.three,a1.fps.four,aS.fps.siteA,aS.fps.siteB,aS.fps.siteC,aS.fps.siteD,aS.fps.siteE,a0.goCont,a1.goCont.burned,a1.goCont.unburned,aS.goCont.1,aS.goCont.2,aS.goCont.3,aS.goCont.4,aS.goCont.5,aS.goCont.6,aS.goCont.7,a0.staySB,a1.staySB.burned,a1.staySB.unburned,aS.staySB.1,aS.staySB.2,aS.staySB.3,aS.staySB.4,aS.staySB.5,aS.staySB.6,aS.staySB.7,a0.outSB,a1.outSB.burned,a1.outSB.unburned,aS.outSB.1,aS.outSB.2,aS.outSB.3,aS.outSB.4,aS.outSB.5,aS.outSB.6,aS.outSB.7
452,-3.327499,0.722664,1.974435,1.125256,-1.813715,-1.285976,0.568762,0.811231,0.074401,-0.124527,-1.329867,2.281998,0.665513,1.163794,-0.090547,-1.375475,0.302227,-0.070276,-0.051556,0.213274,-0.091443,-0.424894,-0.128685,0.222016,-0.206673,0.538236,3.920296,-0.554242,0.447928,0.016179,0.090136,0.065533,-0.189368,-0.344046,-0.41761,0.885491,-9.614363,1.65969,-4.360758,3.801162,0.559596,0.487994,-0.568445,0.080451,0.848199,-0.235661,1.50E-05,-0.475989,-0.136563,-3.783096,0.689345,-0.551073,0.369438,0.181634,0.338436,-0.526508,0.286941,0.048624,-0.147493,0.217788,0.206109,0.182064,-0.024128,-0.157935,-0.200326,-0.041038,-0.073275,-0.06786,0.382499,-2.560504,0.605669,-0.605669,0.339788,-0.055911,-0.132383,-0.152291,0.0262,0.042065,-0.067468,1.078281,-0.671163,0.671163,-0.364563,-0.541973,0.035506,-0.056797,-0.091333,0.631051,0.388109,-3.014591,0.226664,-0.226664,-0.627799,0.365948,-0.417006,0.245301,0.657875,0.065043,-0.289362
453,-3.436815,0.735864,1.904277,1.081124,-1.979984,-1.005417,0.601438,0.303446,0.041279,0.013719,-0.959882,2.475612,0.634087,1.364527,-0.15287,-0.826245,-0.385412,-0.144237,-0.037134,0.149299,0.032072,-0.247758,-0.158335,0.172707,-0.241446,0.474832,3.8647,-0.67544,0.355624,0.145889,0.173928,-0.012367,-0.287661,-0.387094,-0.255083,0.942206,-9.126494,1.588598,-4.80861,4.058397,0.750213,0.538011,-0.611957,0.073947,0.769441,-0.00519,-0.029704,-0.650936,-0.083611,-4.177199,0.746973,-0.461673,0.302696,0.158978,0.277047,-0.149388,0.241792,0.059049,-0.4285,0.189605,0.205227,0.252822,-0.043959,-0.208864,-0.092029,-0.016117,-0.06752,-0.090192,0.265858,-2.561026,0.725106,-0.725106,0.048795,-0.077762,0.057015,0.03097,0.022039,-0.098364,0.017309,1.068903,-0.680131,0.680131,-0.415008,-0.433978,0.020971,0.079472,-0.071834,0.57558,0.244797,-3.070173,0.404053,-0.404053,-0.382785,-0.036143,-0.223113,0.594358,0.719407,-0.361428,-0.310297
454,-3.886006,0.830853,2.171786,1.098684,-2.048599,-1.221871,0.586841,0.794525,0.143995,-0.043058,-1.482302,1.791412,0.752536,1.517136,-0.066979,-1.38431,-0.065846,-0.153828,-0.065742,0.225923,-0.006353,-0.339643,-0.316483,0.188203,-0.097465,0.565388,4.025193,-0.581065,0.751388,-0.021504,-0.148818,0.140754,-0.049641,-0.222321,-0.496179,0.627388,-9.393949,1.641171,-4.58829,3.388845,1.199445,0.497221,-0.460017,-0.037204,1.071629,-0.370855,0.096367,-0.447682,-0.349459,-3.947358,0.72155,-0.492985,0.292357,0.200628,0.162836,-0.219911,0.107664,-0.04287,-0.007719,-0.082027,0.254312,0.227714,-0.05903,-0.168684,-0.068807,0.001263,-0.161815,-0.043754,0.273113,-2.581876,0.567685,-0.567685,0.39717,-0.073135,-0.336616,-0.235182,-0.070059,0.234935,0.082887,1.122021,-0.618565,0.618565,-0.131731,-0.509646,0.068147,0.060787,-0.311372,0.410784,0.413031,-2.859717,0.211912,-0.211912,-0.308889,-0.253717,0.208317,0.338982,0.305519,0.115933,-0.406146
455,-4.125518,0.857421,1.853262,0.898328,-1.991362,-0.760228,0.370538,0.434997,0.197156,0.391753,-1.394444,2.408842,0.643543,1.511989,-0.070416,-1.599544,0.15797,-0.185631,-0.047685,0.276418,-0.043102,-0.494387,-0.061229,0.205053,-0.279906,0.630468,3.852879,-0.662722,0.295799,0.281601,0.085322,0.055033,-0.480138,-0.352139,-0.224819,1.002062,-8.634967,1.510784,-3.965268,3.387652,0.577616,0.460776,-0.50514,0.044364,0.932902,-0.218349,-0.000374,-0.626978,-0.087201,-3.548524,0.64195,-0.483683,0.308754,0.174929,0.227071,-0.415355,0.420981,0.100094,-0.332792,-0.253131,0.272864,0.163404,-0.01895,-0.144454,-0.085852,0.024367,-0.104057,0.00511,0.160432,-2.649436,0.620494,-0.620494,0.530103,-0.055008,0.129941,-0.15055,-0.13527,-0.028353,-0.290862,0.895771,-0.563283,0.563283,-0.114865,-0.426,0.01768,-0.106109,-0.163971,0.384939,0.408326,-3.199287,0.191069,-0.191069,-0.454073,0.200838,-0.062431,0.600658,0.654379,0.056609,-0.995981
456,-3.485523,0.782479,2.011942,1.297796,-1.942942,-1.366796,0.793592,0.84902,0.05447,-0.259704,-1.437379,2.360779,0.649666,1.279843,-0.540229,-1.156056,0.416442,-0.125796,0.05448,0.195679,-0.124363,-0.305416,-0.108465,0.073286,-0.247345,0.58794,3.999461,-0.580047,0.506463,0.059038,0.014546,0.191106,-0.129394,-0.328159,-0.468021,0.734469,-8.871253,1.541681,-5.330711,3.35985,1.970861,0.656403,-0.47642,-0.179983,0.934689,-0.388394,0.09531,-0.692481,0.050876,-3.898772,0.710273,-0.36054,0.261698,0.098842,0.233359,-0.040182,0.199014,-0.005054,-0.387137,-0.367273,0.295921,0.189558,0.035896,-0.225454,-4.80E-05,-0.053401,-0.155758,-0.018573,0.227781,-2.58293,0.710434,-0.710434,0.098051,-0.041244,-0.055754,-0.049622,-0.012414,0.040666,0.020317,1.106339,-0.575182,0.575182,-0.188618,-0.402035,-0.107274,-0.130352,-0.123124,0.562232,0.389171,-2.962235,0.529103,-0.529103,-0.086466,0.333127,-0.438166,0.427967,0.270923,0.170631,-0.678016
457,-3.387137,0.725428,1.945969,0.99574,-1.671185,-1.270523,0.549811,0.555598,0.370216,0.003498,-1.479123,2.179939,0.688162,1.383036,-0.562632,-1.294564,0.474159,-0.128575,0.04623,0.194706,-0.112361,-0.452326,-0.019594,0.143469,-0.226783,0.555234,4.037331,-0.632858,0.550059,0.061195,0.021604,0.295013,-0.268812,-0.286515,-0.464415,0.724729,-8.706865,1.506248,-3.694442,3.037985,0.656457,0.361693,-0.446835,0.085142,1.193385,0.068181,-0.179867,-0.793229,-0.28847,-3.592138,0.658907,-0.4138,0.265884,0.147916,0.394526,-0.51914,0.320063,-0.017832,-0.177618,-0.289095,0.280034,0.196364,-0.031718,-0.164646,-0.010224,-0.059219,-0.145066,0.011361,0.203147,-2.499855,0.579638,-0.579638,0.042706,0.152181,-0.485334,-0.286175,0.214404,0.109389,0.25283,1.054819,-0.61925,0.61925,-0.248141,-0.477126,-0.103388,0.073389,-0.096915,0.550057,0.302123,-3.293097,0.207339,-0.207339,-0.538228,0.186889,-0.324291,0.348797,0.754589,-0.16219,-0.265566
458,-2.994508,0.694051,2.01525,1.271245,-1.798453,-1.488043,0.932476,0.861333,0.207601,-0.43173,-1.56968,2.628954,0.606862,0.900839,-0.206155,-0.875483,0.180799,-0.038083,-0.024351,0.134289,-0.071855,-0.371963,0.01639,0.047399,-0.257149,0.565323,3.894065,-0.791404,0.224783,0.377978,0.188642,-0.177469,-0.151404,-0.447812,-0.150425,0.92711,-10.140482,1.797493,-4.551786,4.076957,0.47483,0.485064,-0.626246,0.141182,1.038038,-0.335682,-0.160335,-0.646829,0.104808,-3.129324,0.563374,-0.502334,0.296229,0.206104,0.342529,-0.464686,0.529772,0.052334,-0.459949,-0.075593,0.253208,0.162926,-0.026594,-0.136333,-0.19822,0.009442,-0.120668,-0.051954,0.361401,-2.598013,0.49174,-0.49174,0.089416,0.014037,-0.022327,-0.031476,0.046389,-0.121629,0.02559,1.108031,-0.631399,0.631399,-0.228375,-0.413971,0.202035,-0.364866,-0.051823,0.463387,0.393614,-3.173898,0.161729,-0.161729,0.311559,-0.097537,-0.256205,0.258258,0.595812,0.246916,-1.058803
459,-3.094371,0.694787,2.020508,1.031635,-1.595049,-1.457095,0.802395,0.881163,0.09989,-0.29883,-1.484618,2.236953,0.679777,1.647177,0.18496,-1.039572,-0.792565,-0.204805,-0.090002,0.186053,0.108754,-0.304429,-0.152394,0.111538,-0.296853,0.642138,4.053014,-0.735655,0.552669,0.13308,0.049906,0.169506,-0.302177,-0.404253,-0.392779,0.929703,-10.017627,1.731254,-5.234171,4.109413,1.124759,0.621459,-0.596077,-0.025383,0.966417,-0.05818,0.164661,-0.619439,-0.453459,-3.877147,0.701858,-0.503699,0.399836,0.103863,0.292912,-0.154096,0.289666,-0.093494,-0.334989,0.054559,0.219745,0.216655,-0.05923,-0.157426,-0.06477,-0.050541,-0.072726,0.005238,0.182799,-2.707806,0.850489,-0.850489,-0.209472,0.11276,-0.19787,0.081765,-0.135111,0.216527,0.131401,1.051947,-0.646867,0.646867,-0.083665,-0.417221,-0.112809,-0.093575,-0.357079,0.410492,0.653857,-3.27475,0.261185,-0.261185,0.209634,-0.20361,-0.209015,0.18815,0.310147,0.175652,-0.470959
460,-3.175973,0.676503,1.570139,1.131095,-1.919229,-0.782005,0.278295,0.355854,0.054546,0.204738,-0.893433,2.366767,0.652147,1.268291,-0.827837,-0.671553,0.231099,-0.13002,0.079178,0.10284,-0.051998,-0.463744,-0.230105,0.134694,-0.187067,0.746222,3.975774,-0.67775,0.45289,0.098887,0.125973,0.089465,-0.327594,-0.332327,-0.36936,0.939816,-9.065423,1.575159,-3.394678,3.14983,0.244848,0.329026,-0.482379,0.153354,0.983254,-0.219585,-0.0184,-0.52082,-0.224448,-4.097227,0.74282,-0.508755,0.413457,0.095298,0.303378,-0.264012,0.245211,-0.022233,-0.262344,0.248278,0.189624,0.243876,-0.045913,-0.197964,-0.077827,-0.201033,0.017269,-0.048133,0.309724,-2.513231,0.620209,-0.620209,0.209159,-0.033335,-0.141417,0.02446,-0.015983,-0.076456,0.033573,1.027609,-0.591761,0.591761,-0.330834,-0.411585,-0.034304,-0.013375,-0.224116,0.741413,0.272802,-3.009666,0.282416,-0.282416,-0.292785,-0.272014,0.20486,0.383074,0.901453,0.10255,-1.027137
461,-3.37589,0.707123,1.859761,1.195567,-1.926027,-1.1293,0.689393,0.494615,0.167073,-0.003571,-1.347511,2.495898,0.621042,0.936039,-0.56653,-0.68473,0.315221,-0.030879,0.036271,0.100808,-0.1062,-0.232143,-0.003569,0.088734,-0.176432,0.32341,3.995283,-0.940187,0.34309,0.351993,0.245104,-0.260679,-0.055032,-0.573585,-0.118382,1.007678,-9.492194,1.664968,-5.293931,4.406906,0.887025,0.646397,-0.681582,0.035185,0.757568,-0.085835,-0.243411,-0.478536,0.050213,-3.771589,0.683216,-0.505177,0.302337,0.202841,0.260205,-0.475138,0.303343,-0.020964,-0.067447,-0.343764,0.287051,0.247434,-0.01942,-0.228014,0.026447,-0.0444,-0.079305,-0.002079,0.099338,-2.409064,0.626325,-0.626325,0.26087,-0.054004,-0.098765,-0.054259,-0.071956,0.025177,-0.007064,1.0707,-0.647126,0.647126,-0.138227,-0.382628,0.027076,-0.279131,-0.116945,0.526167,0.363689,-3.050879,0.225208,-0.225208,-0.263079,0.196583,0.149977,0.199357,0.69705,0.318779,-1.298667
